province,source_type,publish_date,source_url,text_length
北京市,existing_output,2026-02-02,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=9619811804ca4972b0eb7f99450209fa,16555
天津市,existing_output,2026-02-03,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=9b2eff38735e413e8bdf4fd3543f9deb,16946
上海市,existing_output,2026-02-09,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=c93c6c18e18d4ec6b1dd2f30581f15e8,20627
重庆市,existing_output,2026-02-03,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=4bc3b3d1897146f89629769878bbaf74,24195
河北省,existing_output,2026-02-02,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=b36ae89458a64184bb472b7d01980603,9832
山西省,existing_output,2026-02-09,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=d24f9ebf452342fc9fda5266eaa47bad,18808
辽宁省,existing_output,2026-02-01,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=f91275a74263426597e52c6c348bf096,18861
吉林省,existing_output,2026-02-01,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=ff560ebdcaac4b239b661d810900e012,13691
黑龙江省,existing_output,2026-02-26,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=e6978deb47e04645a7d8d6dbb7e97cc1,18645
江苏省,existing_output,2026-02-09,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=dd9879a7f3034b79bfed9f12f8598746,16423
浙江省,existing_output,2026-01-22,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=74bfefcdbe4e4e12b546db92f5ad57da,23484
安徽省,existing_output,2026-02-11,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=6104ceb192c846d1a94da6147f11092e,23130
福建省,existing_output,2026-02-06,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=e1a56e90f1fa4130a11706b2fd9e4aad,21714
江西省,existing_output,2026-02-05,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=bad45803fd814297ab4aed1812ea02e0,19744
山东省,existing_output,2026-02-01,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=ee437021a8da44beb34b4ba02a9e880a,18657
河南省,existing_output,2026-02-03,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=cdd493445f0941a1958be0f919813c5e,13688
湖北省,existing_output,2026-02-05,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=aaca7a3a32b14ef295443485be5e1246,21423
湖南省,existing_output,2026-02-24,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=f60502248a3244b6a49a7dc48c111956,21045
广东省,official_fallback,2026-01-31,https://www.gd.gov.cn/gkmlpt/content/4/4851/post_4851130.html,32953
海南省,official_fallback,2026-02-02,https://agri.hainan.gov.cn/hnsnytywdt/zwdt/202602/t20260202_4021318.html,26176
四川省,existing_output,2026-02-25,https://www.sc.gov.cn/10462/c105962s/2026/2/10/c3064029fbc341e99c8ce71ce3aec20c.shtml?c2Id=280&c1Id=36,26219
贵州省,official_fallback,2026-02-02,https://www.guizhou.gov.cn/home/tt/202602/t20260202_89362001.html,23089
云南省,existing_output,2026-02-03,https://www.yn.gov.cn/ywdt/ynyw/202602/t20260203_323801.html,19469
陕西省,existing_output,2026-02-02,https://www.shaanxi.gov.cn/zfxxgk/zfgzbg/szfgzbg/202602/t20260202_3609862.html,16447
甘肃省,existing_output,2026-02-10,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=09ebb899a342416ca18722ac73c3c52a,19662
青海省,official_fallback,2026-01-31,http://www.qhnews.com/newscenter/system/2026/01/31/030511407.shtml,18625
内蒙古自治区,existing_output,2026-02-12,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=ce46d2fa725943ef9c34bcda02797aaf,16428
广西壮族自治区,existing_output,2026-02-07,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=984fce0a6f804de89a67da48c08149b2,19135
西藏自治区,existing_output,2026-02-12,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=f3445af0484e4bfa988b02c82e9b8acb,12486
宁夏回族自治区,existing_output,2026-02-09,https://www.nx.gov.cn/zwxx_11337/nxyw/202602/t20260209_5163871.html,22715
新疆维吾尔自治区,existing_output,2026-02-12,https://s.fjlib.net:6443/interlibSSO/goto/385/+c-s-9odnokd9bnl9bm/pd/gzbg/detail.html?id=e4e2d78ccbbb494580161db7585351d9,19067
